,Car_Title,Manufactured_Year,vehicle_runs_on_road,Vehicle_Fuel_type,Vehicle_mode,Price
162,Hyundai Creta 1.6 VTVT AT SX Plus,2017,"57,113 kms ", Petrol , Automatic,₹ 9.50 Lakh
163,Mahindra XUV500 W7,2018,"26,300 kms ", Diesel , Manual,₹ 12.35 Lakh
164,Maruti Ciaz 1.4 AT Delta,2018,"32,000 kms ", Petrol , Automatic,₹ 8.25 Lakh
165,BMW X5 xDrive 30d Design Pure Experience 5 Seater,2018,"48,000 kms ", Diesel , Automatic,₹ 50.00 Lakh
166,BMW X1 sDrive20d Expedition,2018,"26,000 kms ", Diesel , Automatic,₹ 26.50 Lakh
167,Mercedes-Benz C-Class C 200 CGI Grand Edition,2018,"25,000 kms ", Petrol , Automatic,₹ 36.50 Lakh
168,Fiat Punto EVO 1.3 Emotion,2018,"75,949 kms ", Diesel , Manual,₹ 3.10 Lakh
169,Audi A6 35 TFSI Matrix,2018,"30,000 kms ", Petrol , Automatic,₹ 34.50 Lakh
170,Maruti Baleno 1.2 Alpha,2018,"21,210 kms ", Petrol , Manual,₹ 5.00 Lakh
171,Mercedes-Benz C-Class C 200 CGI Grand Edition,2018,"25,000 kms ", Petrol , Automatic,₹ 36.50 Lakh
172,BMW 5 Series 520d Sport Line,2018,"55,000 kms ", Diesel , Automatic,₹ 38.75 Lakh
173,Volvo S90 D4 Inscription BSIV,2018,"20,000 kms ", Diesel , Automatic,₹ 44.75 Lakh
174,Maruti Wagon R VXI BS IV,2018,"38,119 kms ", Petrol , Manual,₹ 3.85 Lakh
175,Mercedes-Benz GLS 350d Grand Edition,2019,"36,000 kms ", Diesel , Automatic,₹ 79.00 Lakh
176,Kia Seltos HTX Plus D,2019,"28,000 kms ", Diesel , Manual,₹ 15.50 Lakh
177,Hyundai Verna CRDi 1.6 AT SX Option,2019,"33,000 kms ", Diesel , Automatic,₹ 11.75 Lakh
178,Mahindra Bolero Power Plus SLX,2019,"65,000 kms ", Diesel , Manual,₹ 7.60 Lakh
179,Volvo XC60 D5 Inscription,2019,"34,000 kms ", Diesel , Automatic,₹ 54.50 Lakh
180,Maruti Baleno 1.2 Delta,2019,"31,000 kms ", Petrol , Manual,₹ 6.15 Lakh
181,Maruti Wagon R VXI 1.2 BSIV,2019,"40,000 kms ", Petrol , Manual,₹ 5.40 Lakh
182,Jaguar F-Pace Prestige 2.0 Petrol,2019,"25,000 kms ", Petrol , Automatic,₹ 55.55 Lakh
183,Maruti Wagon R ZXI AMT 1.2,2019,"39,196 kms ", Petrol , Automatic,₹ 4.75 Lakh
184,Mercedes-Benz E-Class E 350d,2019,"59,900 kms ", Diesel , Automatic,₹ 51.50 Lakh
185,Volkswagen Polo GT TSI,2019,"17,658 kms ", Petrol , Automatic,₹ 8.35 Lakh
186,Toyota Innova Crysta 2.4 GX MT BSIV,2019,"39,039 kms ", Diesel , Manual,₹ 16.00 Lakh
187,Mercedes-Benz GLE 43 AMG Coupe,2019,"23,000 kms ", Petrol , Automatic,₹ 80.00 Lakh
188,Maruti Swift Dzire VXI 1.2,2019,"19,931 kms ", Petrol , Manual,₹ 6.00 Lakh
189,Toyota Innova Crysta 2.8 GX AT BSIV,2019,"20,387 kms ", Diesel , Automatic,₹ 17.50 Lakh
190,Maruti Wagon R VXI 1.2,2019,"91,134 kms ", Petrol , Manual,₹ 3.85 Lakh
191,BMW 5 Series 520d Luxury Line,2019,"29,000 kms ", Diesel , Automatic,₹ 47.50 Lakh
192,Ford Ecosport 1.5 Diesel Titanium BSIV,2019,"49,170 kms ", Diesel , Manual,₹ 8.00 Lakh
193,Maruti Wagon R CNG LXI BSIV,2019,"49,804 kms ", CNG , Manual,₹ 4.75 Lakh
194,Mahindra XUV300 W8 Option BSIV,2019,"21,382 kms ", Petrol , Manual,₹ 10.50 Lakh
195,Tata Nexon 1.2 Revotron XM,2019,"44,897 kms ", Petrol , Manual,₹ 6.00 Lakh
196,Jeep Compass 2.0 Sport Plus,2019,"47,000 kms ", Diesel , Manual,₹ 14.50 Lakh
197,Maruti Swift VXI,2019,"29,520 kms ", Petrol , Manual,₹ 5.50 Lakh
198,Toyota Innova Crysta 2.4 G MT,2019,"48,002 kms ", Diesel , Manual,₹ 18.40 Lakh
199,BMW X1 sDrive 20d xLine,2019,"25,000 kms ", Diesel , Automatic,₹ 29.00 Lakh
200,Volkswagen Tiguan 2.0 TDI Highline,2019,"25,000 kms ", Diesel , Automatic,₹ 26.50 Lakh
201,Hyundai Creta 1.6 VTVT AT SX Plus,2019,"12,000 kms ", Petrol , Automatic,₹ 13.49 Lakh
202,Mercedes-Benz GLS 400d 4MATIC,2020,"18,000 kms ", Diesel , Automatic,₹ 1.20 Cr
203,Maruti Ignis 1.2 Delta BSIV,2020,"40,000 kms ", Petrol , Manual,₹ 4.75 Lakh
204,Jeep Compass 2.0 Longitude Option,2020,"22,800 kms ", Diesel , Manual,₹ 18.45 Lakh
